,poi,bonus,deferral_payments,deferred_income,director_fees,exercised_stock_options,expenses,from_messages,loan_advances,long_term_incentive,other,restricted_stock,restricted_stock_deferred,salary,to_messages,total_payments,total_stock_value
0,-0.375173052658,0.348752368946,0.882683640647,-1.12964716547,-0.163712603032,-0.094884972824,-0.132131206873,1.26832247342,-0.119556803075,-0.0897754829461,-0.159499781888,-0.149522743706,-0.101536600364,-0.0752506037775,0.749046416107,0.00384141390992,-0.114294475637
1,-0.375173052658,-0.16532665869,-0.0955589189887,0.161507510659,-0.163712603032,-0.151146918087,-0.156043174122,-0.249716234713,-0.119556803075,-0.164855856401,-0.159540920963,-0.161045995434,-0.014299560675,-0.166591566565,-0.551043674695,-0.155341327256,-0.154760735211
2,-0.375173052658,-0.16532665869,-0.160628769117,0.159368615551,-0.163712603032,-0.00632399088174,-0.0343989292474,-0.229660142441,-0.119556803075,-0.164855856401,0.074443793937,-0.000344605095313,-0.4020903424,-0.166375827221,-0.297476827212,-0.128191637937,-0.0176756456345
3,-0.375173052658,-0.0175674172133,0.310448879029,-0.419336192107,-0.163712603032,0.0943849308972,-0.138276181696,-0.249716234713,-0.119556803075,0.225825404472,0.560474901639,0.199455213923,-0.014299560675,-0.0457856749432,-0.551043674695,0.0463903247474,0.13024557447
4,-0.375173052658,-0.116073578197,-0.0659379220104,0.0770073248302,-0.163712603032,-0.161002900555,0.13336947823,-0.249716234713,-0.119556803075,-0.164855856401,-0.159522245989,-0.147715169429,-0.0716020166527,-0.0581922702255,-0.551043674695,-0.131466373029,-0.160117003617
5,-0.375173052658,-0.16532665869,0.0882981275394,0.161507510659,-0.163712603032,-0.099850867713,-0.164072177959,-0.249716234713,-0.119556803075,-0.141763108541,-0.159304371281,-0.161045995434,-0.014299560675,-0.130038899235,-0.551043674695,-0.130266020419,-0.117866182777
6,-0.375173052658,-0.0791337678284,-0.160628769117,0.161507510659,-0.163712603032,-0.161002900555,-0.0784571089352,2.75385648029,-0.119556803075,-0.164855856401,-0.159387732039,-0.149522743706,-0.014299560675,-0.061964768904,2.72606143014,-0.126235292595,-0.158384409453
7,2.64705431598,0.481119899636,0.618847175583,-0.816766286862,-0.163712603032,-0.124565847507,-0.124099899822,0.0850130294049,-0.119556803075,-0.164855856401,-0.10251512586,-0.146638707698,-0.014299560675,-0.0698032984084,3.02890805363,0.0414796466943,-0.131309879483
8,-0.375173052658,-0.16532665869,-0.197893601154,0.161507510659,-0.136212912256,-0.160877319611,-0.164072177959,-0.249716234713,-0.119556803075,-0.164855856401,-0.159540920963,-0.161045995434,0.0162220163758,-0.166591566565,-0.551043674695,-0.158300248245,-0.163061998511
9,-0.375173052658,-0.16532665869,-0.160628769117,0.161507510659,-0.163712603032,-0.0989045187678,-0.136682357642,-0.249716234713,-0.119556803075,-0.164855856401,-0.159540920963,-0.081569051076,-0.014299560675,-0.068635049507,-0.551043674695,-0.153638928275,-0.0932856062536
