,poi,bonus,exercised_stock_options,salary,total_stock_value
0,0.0,2.68297458299,-0.114019395246,-0.0175526454828,-0.232011684322
1,0.0,-0.586364422994,-0.408513014034,-1.04143909075,-0.460624271873
2,0.0,-0.586364422994,0.349538057907,-1.03902076076,0.313832704692
3,0.0,0.353325830222,0.876681843644,0.312734449415,1.1495079867
4,0.0,-0.273134338589,-0.460102484149,0.173662730071,-0.490884305611
5,0.0,-0.586364422994,-0.140012530562,-0.631701997174,-0.25218990736
6,0.0,-0.0382117752847,-0.460102484149,0.131374909318,-0.481096081067
7,1.0,3.52477965175,-0.269378904294,0.0435089194542,-0.328139558319
8,0.0,-0.586364422994,-0.459445151974,-1.04143909075,-0.507521941754
9,0.0,-0.586364422994,-0.135059027369,0.0566044045283,-0.113322879333
10,0.0,-0.390595620241,-0.460102484149,-0.0886981902155,-0.398267193885
11,0.0,-0.586364422994,0.0610588784427,-1.04143909075,-0.500672685492
12,0.0,0.196710788019,-0.166807471061,0.0416127865012,-0.214260595502
13,0.0,0.0792495063673,-0.306962496708,0.218657863649,-0.352426589499
14,1.0,0.470787111874,-0.460102484149,0.37103293291,-0.461519321305
15,0.0,-0.194826817487,-0.294926214319,0.215975900194,-0.343082938275
16,0.0,0.00094198526595,-0.460102484149,0.2844141321,-0.435801174121
17,0.0,0.118403266918,0.0487172417459,0.63438754854,0.034379538596
18,1.0,0.392479590772,-0.460102484149,0.176288924909,-0.481096081067
19,0.0,-0.35144185969,-0.460102484149,0.285899605243,-0.500672685492
20,1.0,0.196710788019,-0.460102484149,1.06351691096,-0.112010751157
21,0.0,-0.586364422994,0.565846966998,-1.04143909075,0.443445244698
22,0.0,-0.586364422994,-0.460102484149,-1.04143909075,-0.471233605632
23,1.0,0.353325830222,-0.460102484149,0.421432552392,-0.392210154231
24,0.0,-0.586364422994,-0.329666569937,-1.04143909075,-0.339404567824
25,0.0,0.0400957458166,-0.436580397547,0.551961533699,-0.423682745391
26,0.0,-0.331864979415,-0.460102484149,-0.10402441994,-0.468371994972
27,0.0,-0.116519296386,-0.456625126909,0.00356845045941,-0.475941391665
28,1.0,1.76286121005,-0.00164820982598,0.809891383929,0.0607542935453
29,0.0,0.0400957458166,1.30717318724,1.45484022142,0.871246562927
30,0.0,-0.253557458313,-0.0543244291163,0.0257694296075,-0.185671051453
31,0.0,-0.116519296386,-0.149941948273,0.226536448165,-0.210956430896
32,0.0,0.196710788019,1.17907685531,0.29086301209,0.791383206584
33,0.0,-0.531549158223,-0.460102484149,0.079018318393,-0.500672685492
34,0.0,0.0400957458166,-0.306841035329,0.37103293291,-0.332755695763
35,0.0,-0.586364422994,-0.38571489328,-1.04143909075,-0.442926308167
36,0.0,0.00094198526595,-0.169581873072,0.026742845455,-0.245779321628
37,0.0,-0.429749380791,-0.339754067532,-0.117479866083,-0.343947231061
38,0.0,-0.312288099139,0.518460820983,-0.174789724107,0.536779234787
39,0.0,1.37132360454,-0.271956006602,0.502783753901,-0.13836577836
40,1.0,0.431633351323,-0.460102484149,1.19284433208,-0.221934844393
41,0.0,-0.312288099139,-0.32714309473,-0.0317381535111,-0.2488354137
42,0.0,-0.586364422994,-0.19505294457,-1.04143909075,-0.207902358201
43,0.0,-0.586364422994,-0.391380956556,-1.04143909075,-0.447324819049
44,0.0,0.979785999032,1.62765613942,4.33735269036,1.77068767046
45,0.0,-0.586364422994,-0.424809049038,-1.04143909075,-0.473274728425
